organism,regional_centre,antibiotic,year,susceptible_n,tested_n,susceptible_pct,source_report_year,source_table,source_url,extracted_date,reported_pct,computed_pct,flags
Escherichia coli,RC5,levofloxacin,2024,0,0,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,,"no_isolates_tested,pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC5,meropenem,2023,243,306,79.4,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,79.4,79.41,
Escherichia coli,RC5,meropenem,2024,428,537,79.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,79.7,79.7,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC5,piperacillin-tazobactam,2023,173,306,56.5,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,56.5,56.54,
Escherichia coli,RC5,piperacillin-tazobactam,2024,325,537,60.5,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,60.5,60.52,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC6,amikacin,2023,174,237,73.4,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,73.4,73.42,
Escherichia coli,RC6,amikacin,2024,561,753,74.5,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,74.5,74.5,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC6,cefotaxime,2023,1,13,,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,,7.69,pct_suppressed_in_source
Escherichia coli,RC6,cefotaxime,2024,0,1,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC6,ceftazidime,2023,2,3,,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,,66.67,pct_suppressed_in_source
